"Site","elevation","latitude","longitude","full_ID","stationID","filename","date","time","time_stamp","PESO","SOREX","UNK","VOLE","SCIURIDAE","MUSTELIDAE","OTHER","X","night","sunAltDegrees","moonAltDegrees","moonlightModel","twilightModel","illumination","moonPhase","mean_height","max_height","sd_height","cover2m","CC","FC","CP","Le","L","CI"
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1028.jpg","2026-07-01","20:50:10",2026-07-01 20:50:10,1,0,0,0,0,0,0,"",FALSE,1.07169138514443,-15.8829959447624,0,1310.29626973901,1310.29626973901,0.957588798796993,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1029.jpg","2026-07-01","20:50:12",2026-07-01 20:50:12,1,0,0,0,0,0,0,"",FALSE,1.06676883302408,-15.8774441454993,0,1307.36809785598,1307.36809785598,0.957587897183526,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1030.jpg","2026-07-01","20:54:28",2026-07-01 20:54:28,0,0,0,0,0,0,0,"",FALSE,0.439373770756436,-15.1678572296827,0,963.481325263271,963.481325263271,0.957472407995816,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1031.jpg","2026-07-01","20:54:30",2026-07-01 20:54:30,0,0,0,0,0,0,0,"",FALSE,0.434493515471095,-15.162321923125,0,961.040307634536,961.040307634536,0.957471505100802,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1032.jpg","2026-07-01","20:54:32",2026-07-01 20:54:32,0,0,0,0,0,0,0,"",FALSE,0.429613592658255,-15.1567867478449,0,958.603139255058,958.603139255058,0.957470602195742,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1033.jpg","2026-07-01","20:54:44",2026-07-01 20:54:44,1,0,0,0,0,0,0,"",FALSE,0.400340839143347,-15.1235782227421,0,944.060886724156,944.060886724156,0.95746518452049,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1034.jpg","2026-07-01","20:54:46",2026-07-01 20:54:46,1,0,0,0,0,0,0,"",FALSE,0.395463243821857,-15.1180439646314,0,941.650674173248,941.650674173248,0.957464281545998,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1035.jpg","2026-07-01","20:54:48",2026-07-01 20:54:48,1,0,0,0,0,0,0,"",FALSE,0.390585981021809,-15.1125098376038,0,939.244313988468,939.244313988468,0.957463378561482,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1036.jpg","2026-07-01","21:02:18",2026-07-01 21:02:18,1,0,0,0,0,0,0,"",TRUE,-0.698213367587862,-13.8707499146198,0,494.571263151155,494.571263151155,0.95725995335071,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1037.jpg","2026-07-01","21:02:18",2026-07-01 21:02:18,1,0,0,0,0,0,0,"",TRUE,-0.698213367587862,-13.8707499146198,0,494.571263151155,494.571263151155,0.95725995335071,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1038.jpg","2026-07-01","21:02:20",2026-07-01 21:02:20,1,0,0,0,0,0,0,"",TRUE,-0.703013687080906,-13.8652466325855,0,493.019800979675,493.019800979675,0.957259048121045,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
"Tryon",56,45.44412,-122.68147,"SOWE03_20260804","SOWE03","./IMAG1039.jpg","2026-07-01","21:02:34",2026-07-01 21:02:34,1,0,0,0,0,0,0,"",TRUE,-0.736606360600899,-13.8267274103835,0,482.281691359554,482.281691359554,0.957252711198556,117.951206413148,152.279998779297,15.1238468713919,1,0.864544715410402,0.748755058633938,0.133931368398335,2.76265390735592,3.47620943684093,0.794731720729271
