"Site","elevation","latitude","longitude","full_ID","stationID","filename","date","time","time_stamp","PESO","SOREX","UNK","VOLE","SCIURIDAE","MUSTELIDAE","OTHER","...18","night","sunAltDegrees","moonAltDegrees","moonlightModel","twilightModel","illumination","moonPhase","mean_height","max_height","sd_height","cover2m","CC","FC","CP","Le","L","CI"
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0328.JPG",2026-07-16,04:03:58,2026-07-16 04:03:58,1,0,0,0,0,0,0,NA,TRUE,-13.1583838912846,-27.4601042762953,0,0.00421368030218579,0.00421368030218579,0.0596015143642875,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0329.JPG",2026-07-16,04:03:58,2026-07-16 04:03:58,1,0,0,0,0,0,0,NA,TRUE,-13.1583838912846,-27.4601042762953,0,0.00421368030218579,0.00421368030218579,0.0596015143642875,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0330.JPG",2026-07-16,04:03:58,2026-07-16 04:03:58,0,0,0,0,0,0,0,NA,TRUE,-13.1583838912846,-27.4601042762953,0,0.00421368030218579,0.00421368030218579,0.0596015143642875,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0331.JPG",2026-07-16,04:07:00,2026-07-16 04:07:00,1,0,0,0,0,0,0,NA,TRUE,-12.8178306497715,-27.3461732920985,0,0.00500682468879293,0.00500682468879293,0.0597150661891473,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0332.JPG",2026-07-16,04:07:00,2026-07-16 04:07:00,1,0,0,0,0,0,0,NA,TRUE,-12.8178306497715,-27.3461732920985,0,0.00500682468879293,0.00500682468879293,0.0597150661891473,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0333.JPG",2026-07-16,04:07:00,2026-07-16 04:07:00,1,0,0,0,0,0,0,NA,TRUE,-12.8178306497715,-27.3461732920985,0,0.00500682468879293,0.00500682468879293,0.0597150661891473,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0334.JPG",2026-07-16,04:07:12,2026-07-16 04:07:12,1,0,0,0,0,0,0,NA,TRUE,-12.7952179319926,-27.3384203004009,0,0.00506720152841862,0.00506720152841862,0.0597225565874601,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0335.JPG",2026-07-16,04:07:12,2026-07-16 04:07:12,1,0,0,0,0,0,0,NA,TRUE,-12.7952179319926,-27.3384203004009,0,0.00506720152841862,0.00506720152841862,0.0597225565874601,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0336.JPG",2026-07-16,04:07:12,2026-07-16 04:07:12,1,0,0,0,0,0,0,NA,TRUE,-12.7952179319926,-27.3384203004009,0,0.00506720152841862,0.00506720152841862,0.0597225565874601,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
"Tryon",75,45.441706,-122.684142,"BOHO01_20260620","BOHO01","./DSCF0337.JPG",2026-07-16,04:07:26,2026-07-16 04:07:26,1,0,0,0,0,0,0,NA,TRUE,-12.7688117890625,-27.3293375483904,0,0.00513901313710109,0.00513901313710109,0.0597312959172076,122.605354998189,146.079986572266,17.7437455520852,1,0.94937253096467,0.841135409633809,0.114009114231354,3.67940614504856,4.12308101132083,0.892392396595152
