Site,elevation,latitude,longitude,full_ID,stationID ,filename,date,time,time_stamp,PESO,SOREX,UNK,VOLE ,SCIURIDAE,MUSTELIDAE,OTHER,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0100.jpg,2026-06-16,4:14:00,2026-06-16  4:14:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0101.jpg,2026-06-16,4:14:00,2026-06-16  4:14:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0102.jpg,2026-06-16,4:14:00,2026-06-16  4:14:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0103.jpg,2026-06-16,4:15:00,2026-06-16  4:15:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0104.jpg,2026-06-16,4:15:00,2026-06-16  4:15:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0105.jpg,2026-06-16,4:15:00,2026-06-16  4:15:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0106.jpg,2026-06-16,4:17:00,2026-06-16  4:17:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0107.jpg,2026-06-16,4:17:00,2026-06-16  4:17:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0108.jpg,2026-06-16,4:17:00,2026-06-16  4:17:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0109.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0110.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0111.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0112.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0113.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0114.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0115.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0116.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
Tryon,75,45.441706,-122.684142,BOHO01_20260619,BOHO01,IMAG0117.jpg,2026-06-16,4:20:00,2026-06-16  4:20:0,1,0,0,0,0,0,0,
